DMM LUCRO
0.00064394 16.25
-0.00018629 14.25
-0.00024353 14.3
-0.00017585 10.25
0.00006965 10.2
-0.00040570 -6.7
-0.00008367 13.8
-0.00040371 -50
0.00014952 11.95
-0.00030298 14.55
0.00050733 17.9
0.00069309 -7.8
-0.00079217 -16.2
-0.00006205 12.95
-0.00010012 -50
0.00003947 11.7
0.00018606 10.65
0.00025671 12.5
-0.00009642 10.95
-0.00007038 -50
0.00034990 -50
0.00007195 10.8
-0.00001771 13.7
-0.00028533 -50
0.00014585 12.2
-0.00000531 -50
-0.00023226 12.35
-0.00065977 11.95
0.00004893 10.4
-0.00012292 -50
0.00006044 -18.6
0.00000038 11.15
0.00086074 -50
-0.00061005 13
-0.00028630 -50
0.00029701 -50
-0.00012371 10
-0.00044959 11.25
-0.00022512 12.5
-0.00024768 -14.6
-0.00008517 -18.4
-0.00019443 -9.6
